127.0.0.1 - - [01/Feb/2025:15:29:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Feb/2025:15:29:36 +0530] "GET /JSP-Tutorial-01/ HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [01/Feb/2025:15:29:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Feb/2025:15:30:22 +0530] "GET /JSP-Tutorial-01/ HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [01/Feb/2025:15:30:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Feb/2025:15:31:26 +0530] "GET /JSP-Tutorial-01/ HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [01/Feb/2025:15:31:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Feb/2025:22:17:30 +0530] "GET /JSP-Tutorial-01/ HTTP/1.1" 500 2172
0:0:0:0:0:0:0:1 - - [01/Feb/2025:22:17:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Feb/2025:22:23:01 +0530] "GET /JSP-Tutorial-01/ HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Feb/2025:22:23:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
